,Data,,Label,Test Result,Testing Success
0,4.08407045,2.45044227,+1,1,0.9475
1,4.021238597,2.324778564,+1,1,
2,2.199114858,4.272566009,+1,-1,
3,2.764601535,0.376991118,+1,1,
4,4.963716393,4.775220833,+1,1,
5,2.199114858,0.691150384,+1,1,
6,5.592034923,6.094689748,+1,1,
7,2.701769682,6.220353454,+1,1,
8,6.094689748,5.969026042,+1,1,
9,4.209734156,5.592034923,+1,1,
10,0.188495559,5.843362336,+1,1,
11,3.958406744,5.780530483,+1,1,
12,1.005309649,4.963716393,+1,1,
13,0.376991118,0.439822972,+1,1,
14,5.215043805,1.696460033,+1,1,
15,4.838052687,0.81681409,+1,1,
16,3.832743037,5.71769863,+1,1,
17,5.780530483,0,+1,1,
18,0.753982237,1.947787445,+1,1,
19,1.319468915,4.71238898,+1,1,
20,6.094689748,5.906194189,+1,1,
21,2.764601535,0.314159265,+1,1,
22,1.884955592,0.753982237,+1,1,
23,4.398229715,5.654866776,+1,1,
24,5.592034923,3.455751919,+1,1,
25,4.838052687,5.089380099,+1,-1,
26,0.565486678,2.45044227,+1,-1,
27,0,3.455751919,+1,1,
28,1.193805208,4.398229715,+1,1,
29,2.701769682,5.71769863,+1,1,
30,1.193805208,4.586725274,+1,1,
31,3.518583772,5.277875658,+1,1,
32,1.445132621,4.775220833,+1,1,
33,5.654866776,4.523893421,+1,1,
34,1.759291886,5.215043805,+1,1,
35,3.518583772,5.71769863,+1,1,
36,1.256637061,4.586725274,+1,1,
37,2.324778564,3.958406744,+1,1,
38,2.261946711,4.335397862,+1,-1,
39,0.753982237,2.010619298,+1,1,
40,5.026548246,1.570796327,+1,1,
41,1.130973355,4.90088454,+1,1,
42,4.586725274,1.382300768,+1,1,
43,3.769911184,2.261946711,+1,1,
44,5.906194189,5.71769863,+1,1,
45,4.775220833,0.879645943,+1,1,
46,0.942477796,1.947787445,+1,1,
47,5.403539364,0.81681409,+1,1,
48,2.136283004,1.068141502,+1,-1,
49,4.523893421,5.152211952,+1,1,
50,1.570796327,5.026548246,+1,1,
51,1.382300768,5.277875658,+1,1,
52,0.314159265,5.906194189,+1,1,
53,4.90088454,1.759291886,+1,1,
54,6.220353454,2.513274123,+1,1,
55,5.215043805,3.581415625,+1,1,
56,3.581415625,5.654866776,+1,1,
57,4.398229715,5.403539364,+1,1,
58,4.775220833,1.63362818,+1,1,
59,1.63362818,0.753982237,+1,-1,
60,2.010619298,0.628318531,+1,1,
61,0.691150384,4.523893421,+1,1,
62,4.146902303,5.466371217,+1,1,
63,5.906194189,5.906194189,+1,1,
64,2.764601535,0.565486678,+1,1,
65,0.062831853,0.502654825,+1,1,
66,5.780530483,4.021238597,+1,1,
67,5.71769863,3.644247478,+1,1,
68,0.314159265,0.125663706,+1,1,
69,4.398229715,5.403539364,+1,1,
70,1.319468915,4.398229715,+1,1,
71,6.220353454,2.953097094,+1,1,
72,1.696460033,5.152211952,+1,1,
73,0.125663706,5.654866776,+1,1,
74,0.628318531,6.031857895,+1,1,
75,0.314159265,0.502654825,+1,1,
76,5.969026042,4.398229715,+1,1,
77,4.649557127,1.068141502,+1,1,
78,4.775220833,1.005309649,+1,1,
79,0.062831853,5.52920307,+1,-1,
80,0.753982237,2.890265241,+1,-1,
81,2.764601535,6.220353454,+1,1,
82,2.073451151,0.942477796,+1,1,
83,0.439822972,2.513274123,+1,1,
84,1.005309649,5.906194189,+1,-1,
85,1.507964474,1.445132621,+1,1,
86,6.157521601,2.764601535,+1,1,
87,5.340707511,1.193805208,+1,-1,
88,3.769911184,6.157521601,+1,1,
89,5.026548246,1.507964474,+1,1,
90,1.068141502,5.026548246,+1,1,
91,2.45044227,3.958406744,+1,1,
92,5.780530483,0.502654825,+1,1,
93,0.942477796,1.884955592,+1,1,
94,4.523893421,5.215043805,+1,1,
95,1.759291886,4.71238898,+1,1,
96,1.319468915,1.570796327,+1,1,
97,1.759291886,1.068141502,+1,1,
98,1.445132621,4.461061568,+1,1,
99,0.942477796,2.010619298,+1,1,
100,2.136283004,4.021238597,+1,1,
101,0.81681409,4.649557127,+1,1,
102,4.71238898,5.403539364,+1,1,
103,0.628318531,6.157521601,+1,1,
104,1.63362818,5.403539364,+1,1,
105,5.654866776,3.455751919,+1,1,
106,6.094689748,0.439822972,+1,1,
107,2.45044227,4.398229715,+1,-1,
108,4.71238898,5.277875658,+1,1,
109,2.638937829,6.094689748,+1,1,
110,5.780530483,5.906194189,+1,1,
111,1.947787445,3.832743037,+1,1,
112,1.570796327,4.775220833,+1,1,
113,0.188495559,2.387610417,+1,-1,
114,4.586725274,1.507964474,+1,1,
115,2.136283004,0.628318531,+1,1,
116,2.513274123,5.843362336,+1,1,
117,2.45044227,4.021238597,+1,1,
118,5.780530483,4.021238597,+1,1,
119,0.565486678,4.586725274,+1,1,
120,2.45044227,5.71769863,+1,1,
121,2.827433388,0.251327412,+1,1,
122,1.884955592,1.068141502,+1,1,
123,6.157521601,3.769911184,+1,1,
124,0.879645943,4.838052687,+1,1,
125,3.644247478,5.089380099,+1,1,
126,2.136283004,4.146902303,+1,-1,
127,5.906194189,0.188495559,+1,1,
128,0.691150384,4.649557127,+1,1,
129,1.696460033,5.215043805,+1,1,
130,4.461061568,1.63362818,+1,1,
131,4.398229715,5.52920307,+1,1,
132,0.439822972,5.843362336,+1,1,
133,3.644247478,1.759291886,+1,1,
134,2.387610417,3.832743037,+1,1,
135,0.376991118,0.439822972,+1,1,
136,5.52920307,0.879645943,+1,1,
137,4.90088454,0.942477796,+1,1,
138,2.638937829,5.843362336,+1,1,
139,5.340707511,4.586725274,+1,1,
140,4.398229715,5.654866776,+1,1,
141,2.136283004,0.81681409,+1,1,
142,6.157521601,5.906194189,+1,1,
143,5.466371217,4.586725274,+1,1,
144,5.52920307,0.81681409,+1,1,
145,4.335397862,0.879645943,+1,1,
146,5.403539364,4.08407045,+1,1,
147,4.586725274,5.403539364,+1,1,
148,5.215043805,1.759291886,+1,1,
149,1.130973355,4.523893421,+1,1,
150,2.073451151,0.81681409,+1,1,
151,3.707079331,6.094689748,+1,1,
152,5.52920307,1.382300768,+1,-1,
153,5.780530483,6.094689748,+1,1,
154,1.382300768,1.319468915,+1,1,
155,6.031857895,2.890265241,+1,1,
156,2.010619298,0.628318531,+1,1,
157,3.769911184,6.094689748,+1,1,
158,4.335397862,5.152211952,+1,1,
159,1.696460033,0.879645943,+1,1,
160,0.125663706,3.455751919,+1,1,
161,0.628318531,0,+1,1,
162,1.947787445,0.879645943,+1,1,
163,5.340707511,4.71238898,+1,1,
164,5.843362336,0.439822972,+1,1,
165,1.696460033,1.193805208,+1,1,
166,5.843362336,0.062831853,+1,1,
167,6.157521601,2.890265241,+1,1,
168,6.094689748,0.565486678,+1,1,
169,0.691150384,2.890265241,+1,-1,
