,Data,,Label,Test Result,Testing Success
0,5.340707511,4.209734156,+1,1,1
1,0.251327412,0.439822972,+1,1,
2,1.068141502,1.63362818,+1,1,
3,1.445132621,4.90088454,+1,1,
4,5.906194189,0.188495559,+1,1,
5,3.392920066,0.251327412,+1,1,
6,5.152211952,4.71238898,+1,1,
7,4.71238898,4.838052687,+1,1,
8,5.969026042,3.707079331,+1,1,
9,5.026548246,4.963716393,+1,1,
10,4.523893421,1.130973355,+1,1,
11,5.592034923,4.021238597,+1,1,
12,0.502654825,2.764601535,+1,1,
13,0.81681409,5.466371217,+1,1,
14,3.581415625,0.314159265,+1,1,
15,2.45044227,4.08407045,+1,1,
16,2.513274123,4.209734156,+1,1,
17,5.52920307,3.581415625,+1,1,
18,5.906194189,3.958406744,+1,1,
19,1.445132621,1.63362818,+1,1,
20,1.382300768,1.005309649,+1,1,
21,1.005309649,4.586725274,+1,1,
22,4.649557127,1.382300768,+1,1,
23,4.838052687,1.822123739,+1,1,
24,5.152211952,4.90088454,+1,1,
25,1.005309649,2.764601535,+1,1,
26,1.130973355,4.586725274,+1,1,
27,4.838052687,4.71238898,+1,1,
28,6.031857895,3.518583772,+1,1,
29,1.63362818,1.382300768,+1,1,
30,3.89557489,0,+1,1,
31,0.062831853,0.565486678,+1,1,
32,2.136283004,0.628318531,+1,1,
33,4.649557127,5.52920307,+1,1,
34,0.691150384,5.403539364,+1,1,
35,5.215043805,0.628318531,+1,1,
36,1.445132621,4.649557127,+1,1,
37,5.52920307,6.220353454,+1,1,
38,0.81681409,2.010619298,+1,1,
39,5.089380099,0.502654825,+1,1,
40,4.649557127,1.696460033,+1,1,
41,0.251327412,2.261946711,+1,1,
42,0.691150384,0.188495559,+1,1,
43,4.71238898,1.507964474,+1,1,
44,3.958406744,2.387610417,+1,1,
45,5.843362336,0.251327412,+1,1,
46,1.382300768,5.152211952,+1,1,
47,0.125663706,3.392920066,+1,1,
48,1.130973355,4.838052687,+1,1,
49,3.958406744,6.094689748,+1,1,
50,2.387610417,3.958406744,+1,1,
51,6.094689748,3.518583772,+1,1,
52,4.523893421,1.005309649,+1,1,
53,0.251327412,2.953097094,+1,1,
54,5.026548246,1.696460033,+1,1,
55,0.439822972,3.644247478,+1,1,
56,1.256637061,5.026548246,+1,1,
57,1.759291886,1.445132621,+1,1,
58,4.586725274,1.130973355,+1,1,
59,3.518583772,5.592034923,+1,1,
60,4.90088454,1.005309649,+1,1,
61,1.570796327,0.942477796,+1,1,
62,5.969026042,0.439822972,+1,1,
63,3.455751919,0.125663706,+1,1,
64,0.314159265,3.455751919,+1,1,
65,1.947787445,1.068141502,+1,1,
66,1.570796327,4.586725274,+1,1,
67,2.261946711,3.89557489,+1,1,
68,4.71238898,4.586725274,+1,1,
69,0.314159265,6.157521601,+1,1,
70,5.969026042,5.906194189,+1,1,
71,2.638937829,4.523893421,+1,1,
72,5.71769863,4.08407045,+1,1,
73,3.26725636,0.125663706,+1,1,
74,5.340707511,3.518583772,+1,1,
75,4.90088454,4.775220833,+1,1,
76,0.062831853,3.455751919,+1,1,
77,3.707079331,2.324778564,+1,1,
78,4.838052687,4.838052687,+1,1,
79,2.45044227,3.89557489,+1,1,
80,1.382300768,4.775220833,+1,1,
81,6.157521601,0.628318531,+1,1,
82,0.942477796,4.838052687,+1,1,
83,3.455751919,0.062831853,+1,1,
84,5.654866776,3.644247478,+1,1,
85,3.958406744,2.324778564,+1,1,
86,5.215043805,1.382300768,+1,1,
87,5.969026042,2.638937829,+1,1,
88,1.696460033,5.026548246,+1,1,
89,1.759291886,5.152211952,+1,1,
90,0.691150384,6.157521601,+1,1,
91,3.958406744,2.199114858,+1,1,
92,0.314159265,3.330088213,+1,1,
93,0.376991118,0,+1,1,
94,0.062831853,2.890265241,+1,1,
95,0.376991118,3.518583772,+1,1,
96,4.71238898,1.130973355,+1,1,
97,2.136283004,0.628318531,+1,1,
98,1.759291886,5.340707511,+1,1,
99,5.71769863,6.094689748,+1,1,
100,0.691150384,0.188495559,+1,1,
101,0.188495559,2.953097094,+1,1,
102,0.81681409,1.947787445,+1,1,
103,0.753982237,5.403539364,+1,1,
104,2.576105976,6.220353454,+1,1,
105,4.021238597,2.387610417,+1,1,
106,5.906194189,3.644247478,+1,1,
107,4.08407045,2.324778564,+1,1,
108,1.382300768,1.256637061,+1,1,
109,0.062831853,0.439822972,+1,1,
110,1.319468915,1.63362818,+1,1,
111,2.136283004,0.628318531,+1,1,
112,1.822123739,4.90088454,+1,1,
113,4.461061568,5.215043805,+1,1,
114,5.215043805,1.445132621,+1,1,
115,2.764601535,0.376991118,+1,1,
116,0.125663706,6.031857895,+1,1,
117,0.628318531,0.125663706,+1,1,
118,0.502654825,2.764601535,+1,1,
119,5.215043805,1.884955592,+1,1,
120,4.586725274,5.277875658,+1,1,
121,2.261946711,4.209734156,+1,1,
122,5.71769863,0.502654825,+1,1,
123,1.822123739,1.382300768,+1,1,
124,5.654866776,0.879645943,+1,1,
125,4.838052687,5.152211952,+1,1,
126,1.319468915,4.71238898,+1,1,
127,4.398229715,0.879645943,+1,1,
128,4.775220833,4.838052687,+1,1,
129,5.340707511,4.209734156,+1,1,
130,0.062831853,2.953097094,+1,1,
131,4.523893421,5.277875658,+1,1,
132,5.52920307,4.586725274,+1,1,
133,0.81681409,0.062831853,+1,1,
134,5.089380099,4.398229715,+1,1,
135,0,3.644247478,+1,1,
136,0.439822972,5.654866776,+1,1,
137,5.52920307,3.518583772,+1,1,
138,0.125663706,3.392920066,+1,1,
139,5.403539364,4.272566009,+1,1,
140,0,3.204424507,+1,1,
141,3.581415625,0.251327412,+1,1,
142,4.649557127,5.277875658,+1,1,
143,4.838052687,1.884955592,+1,1,
144,2.513274123,6.094689748,+1,1,
145,1.822123739,4.649557127,+1,1,
146,5.277875658,4.335397862,+1,1,
147,0.125663706,0.251327412,+1,1,
148,2.638937829,4.272566009,+1,1,
149,5.969026042,0.188495559,+1,1,
150,0.628318531,0.125663706,+1,1,
151,4.08407045,5.52920307,+1,1,
152,1.507964474,0.81681409,+1,1,
153,0.691150384,6.157521601,+1,1,
154,0.942477796,1.822123739,+1,1,
155,4.461061568,5.277875658,+1,1,
156,0.628318531,2.136283004,+1,1,
157,1.319468915,1.193805208,+1,1,
158,0,5.466371217,+1,1,
159,5.969026042,0.314159265,+1,1,
160,5.215043805,4.335397862,+1,1,
161,0.062831853,3.518583772,+1,1,
162,1.445132621,1.256637061,+1,1,
163,5.906194189,5.906194189,+1,1,
164,6.031857895,3.958406744,+1,1,
165,4.71238898,5.089380099,+1,1,
166,6.157521601,0.439822972,+1,1,
167,4.021238597,5.654866776,+1,1,
168,3.769911184,1.947787445,+1,1,
169,1.884955592,5.277875658,+1,1,
170,1.822123739,1.130973355,+1,1,
171,3.707079331,2.324778564,+1,1,
172,5.843362336,0.502654825,+1,1,
173,2.827433388,0.188495559,+1,1,
174,6.157521601,3.581415625,+1,1,
175,6.157521601,0.439822972,+1,1,
176,2.513274123,6.031857895,+1,1,
177,2.387610417,3.832743037,+1,1,
178,5.089380099,4.461061568,+1,1,
179,5.340707511,1.822123739,+1,1,
180,4.08407045,2.45044227,+1,1,
181,0.251327412,2.827433388,+1,1,
182,3.392920066,5.906194189,+1,1,
183,6.157521601,0.439822972,+1,1,
184,0.628318531,0.062831853,+1,1,
185,4.523893421,5.215043805,+1,1,
186,4.08407045,2.387610417,+1,1,
187,4.838052687,5.403539364,+1,1,
188,5.152211952,1.884955592,+1,1,
189,1.382300768,1.005309649,+1,1,
190,0.879645943,4.586725274,+1,1,
191,5.277875658,4.398229715,+1,1,
192,0,0.251327412,+1,1,
193,5.152211952,1.319468915,+1,1,
194,4.963716393,3.707079331,+1,1,
195,0.879645943,1.822123739,+1,1,
196,1.759291886,4.838052687,+1,1,
197,4.586725274,1.63362818,+1,1,
198,0.439822972,3.455751919,+1,1,
199,4.71238898,1.63362818,+1,1,
200,3.015928947,4.523893421,-1,-1,
201,4.963716393,5.780530483,-1,-1,
202,0.439822972,0.942477796,-1,-1,
203,1.507964474,3.832743037,-1,-1,
204,1.570796327,3.707079331,-1,-1,
205,2.953097094,3.832743037,-1,-1,
206,6.220353454,1.005309649,-1,-1,
207,3.958406744,0.942477796,-1,-1,
208,4.272566009,2.701769682,-1,-1,
209,5.340707511,2.387610417,-1,-1,
210,3.832743037,5.52920307,-1,-1,
211,5.215043805,2.261946711,-1,-1,
212,1.759291886,4.08407045,-1,-1,
213,2.638937829,2.576105976,-1,-1,
214,0.753982237,1.193805208,-1,-1,
215,3.518583772,2.576105976,-1,-1,
216,5.403539364,5.906194189,-1,-1,
217,2.576105976,2.45044227,-1,-1,
218,1.696460033,4.272566009,-1,-1,
219,0.502654825,1.130973355,-1,-1,
220,1.759291886,2.261946711,-1,-1,
221,0.502654825,4.90088454,-1,-1,
222,1.005309649,1.005309649,-1,-1,
223,5.52920307,5.780530483,-1,-1,
224,2.261946711,4.775220833,-1,-1,
225,3.392920066,2.387610417,-1,-1,
226,1.005309649,3.769911184,-1,-1,
227,1.759291886,2.890265241,-1,-1,
228,2.387610417,1.947787445,-1,-1,
229,0.439822972,1.256637061,-1,-1,
230,1.570796327,5.654866776,-1,-1,
231,4.146902303,5.152211952,-1,-1,
232,0.314159265,1.256637061,-1,-1,
233,1.445132621,6.094689748,-1,-1,
234,4.523893421,2.387610417,-1,-1,
235,0.188495559,1.005309649,-1,-1,
236,4.021238597,4.08407045,-1,-1,
237,0.314159265,1.445132621,-1,-1,
238,1.319468915,5.592034923,-1,-1,
239,1.759291886,2.764601535,-1,-1,
240,0.81681409,5.780530483,-1,-1,
241,3.707079331,1.445132621,-1,-1,
242,1.005309649,0.314159265,-1,-1,
243,4.775220833,3.455751919,-1,-1,
244,1.947787445,2.45044227,-1,-1,
245,1.005309649,3.078760801,-1,-1,
246,2.45044227,1.759291886,-1,-1,
247,1.068141502,0.314159265,-1,-1,
248,4.963716393,5.592034923,-1,-1,
249,2.827433388,2.827433388,-1,-1,
250,4.71238898,0.251327412,-1,-1,
251,4.586725274,0.314159265,-1,-1,
252,5.71769863,3.204424507,-1,-1,
253,5.969026042,4.586725274,-1,-1,
254,1.319468915,5.71769863,-1,-1,
255,5.969026042,4.71238898,-1,-1,
256,3.832743037,3.26725636,-1,-1,
257,0.753982237,1.193805208,-1,-1,
258,5.403539364,3.958406744,-1,-1,
259,5.52920307,3.832743037,-1,-1,
260,0.502654825,1.319468915,-1,-1,
261,5.403539364,5.340707511,-1,-1,
262,1.759291886,5.780530483,-1,-1,
263,5.403539364,5.906194189,-1,-1,
264,1.570796327,5.466371217,-1,-1,
265,3.89557489,3.707079331,-1,-1,
266,5.277875658,3.015928947,-1,-1,
267,2.701769682,2.576105976,-1,-1,
268,0,4.209734156,-1,-1,
269,4.461061568,2.890265241,-1,-1,
270,1.005309649,3.89557489,-1,-1,
271,5.403539364,5.089380099,-1,-1,
272,5.089380099,3.078760801,-1,-1,
273,0.188495559,4.963716393,-1,-1,
274,0.879645943,5.277875658,-1,-1,
275,1.884955592,6.220353454,-1,-1,
276,2.136283004,5.71769863,-1,-1,
277,3.581415625,1.068141502,-1,-1,
278,6.157521601,2.136283004,-1,-1,
279,4.90088454,3.330088213,-1,-1,
280,1.193805208,0.062831853,-1,-1,
281,0.314159265,4.523893421,-1,-1,
282,3.392920066,4.71238898,-1,-1,
283,3.455751919,3.707079331,-1,-1,
284,1.445132621,2.010619298,-1,-1,
285,3.330088213,2.764601535,-1,-1,
286,3.832743037,0.753982237,-1,-1,
287,2.324778564,2.199114858,-1,-1,
288,4.838052687,3.204424507,-1,-1,
289,2.324778564,1.947787445,-1,-1,
290,5.780530483,3.204424507,-1,-1,
291,1.570796327,2.324778564,-1,-1,
292,1.256637061,0.753982237,-1,-1,
293,3.644247478,1.319468915,-1,-1,
294,5.403539364,5.843362336,-1,-1,
295,3.078760801,4.209734156,-1,-1,
296,2.890265241,3.769911184,-1,-1,
297,6.094689748,1.445132621,-1,-1,
298,4.963716393,3.958406744,-1,-1,
299,0.502654825,4.649557127,-1,-1,
300,2.324778564,5.026548246,-1,-1,
301,2.513274123,2.073451151,-1,-1,
302,3.518583772,4.71238898,-1,-1,
303,3.707079331,1.068141502,-1,-1,
