,Data,,Label,Discriminant
0,1.884955592,2.827433388,+1,0.933701286
1,5.089380099,0.753982237,+1,1.180467004
2,5.654866776,5.215043805,+1,0.938769833
3,1.193805208,3.89557489,+1,1.451662849
4,2.890265241,2.073451151,+1,1.849047033
5,0.376991118,3.958406744,+1,2.689457324
6,4.586725274,0.691150384,+1,0.600630525
7,5.969026042,2.953097094,+1,0.67242302
8,6.031857895,2.701769682,+1,2.941229891
9,4.146902303,1.068141502,+1,1.776179607
10,2.638937829,2.45044227,+1,0.987814133
11,1.256637061,4.209734156,+1,1.35749859
12,3.644247478,5.52920307,+1,1.505427884
13,0.81681409,1.382300768,+1,2.229467578
14,0.314159265,5.403539364,+1,1.57997545
15,2.701769682,5.215043805,+1,1.203703228
16,2.261946711,5.403539364,+1,1.420655634
17,1.445132621,5.340707511,+1,2.32437177
18,1.822123739,0.942477796,+1,1.998236104
19,4.71238898,1.445132621,+1,1.219560008
20,0.879645943,3.832743037,+1,1.966244321
21,3.330088213,2.387610417,+1,1.70065464
22,1.193805208,3.707079331,+1,1.316412007
23,1.822123739,6.031857895,+1,1.536955648
24,2.890265241,5.52920307,+1,1.49434808
25,3.769911184,4.461061568,+1,2.598508711
26,2.638937829,0,+1,2.471195419
27,4.461061568,5.277875658,+1,2.731586672
28,2.387610417,2.324778564,+1,2.128211447
29,5.277875658,5.403539364,+1,1.471012086
30,6.094689748,4.146902303,+1,1.29042261
31,6.031857895,3.581415625,+1,2.752233798
32,5.403539364,1.005309649,+1,1.725417589
33,4.398229715,4.08407045,+1,1.591355059
34,0.942477796,0.753982237,+1,1.879756348
35,0.691150384,0.188495559,+1,2.388147932
36,5.466371217,5.340707511,+1,1.087591104
37,5.969026042,0.314159265,+1,2.593709635
38,0.879645943,4.08407045,+1,2.003398192
39,0.502654825,1.068141502,+1,1.169330935
40,0.565486678,1.130973355,+1,1.047281958
41,1.130973355,0.691150384,+1,1.73173237
42,5.089380099,2.324778564,+1,1.387307804
43,1.193805208,4.146902303,+1,1.208029124
44,5.969026042,1.759291886,+1,0.980780348
45,2.890265241,5.089380099,+1,1.627451811
46,6.220353454,3.644247478,+1,1.894612546
47,0.81681409,1.570796327,+1,2.313315428
48,3.581415625,4.586725274,+1,1.848870027
49,3.832743037,4.523893421,+1,2.204195844
50,4.523893421,3.958406744,+1,1.851974644
51,3.078760801,5.780530483,+1,0.572353904
52,2.953097094,5.152211952,+1,1.657966347
53,5.654866776,3.769911184,+1,2.082887206
54,1.256637061,4.838052687,+1,2.310029325
55,4.021238597,0.879645943,+1,1.956213959
56,4.963716393,6.157521601,+1,1.08339338
57,1.507964474,0.628318531,+1,1.317375643
58,1.256637061,3.644247478,+1,0.951730776
59,5.152211952,3.958406744,+1,1.170858076
60,1.445132621,0.628318531,+1,1.671184036
61,6.157521601,5.215043805,+1,1.898703508
62,3.707079331,6.031857895,+1,1.646541704
63,5.52920307,4.398229715,+1,3.19657984
64,0.691150384,0.753982237,+1,1.45488655
65,1.570796327,4.523893421,+1,0.353679224
66,3.707079331,4.71238898,+1,1.418773219
67,4.209734156,0.628318531,+1,1.463770294
68,3.769911184,0.879645943,+1,1.679071764
69,4.649557127,1.005309649,+1,2.064110796
70,0.81681409,0.188495559,+1,0.909504468
71,5.906194189,2.324778564,+1,0.746042966
72,5.906194189,3.518583772,+1,1.345629526
73,3.392920066,4.523893421,+1,1.217368255
74,1.884955592,5.843362336,+1,2.202191682
75,2.576105976,2.387610417,+1,1.635700861
76,3.015928947,4.523893421,+1,1.432401484
77,5.592034923,4.398229715,+1,2.813958829
78,3.707079331,4.586725274,+1,2.183729061
79,2.513274123,1.005309649,+1,1.099950366
80,4.461061568,0.81681409,+1,2.059777848
81,2.010619298,2.701769682,+1,1.239173142
82,3.141592654,4.021238597,+1,1.490419948
83,3.644247478,2.576105976,+1,1.617882879
84,0.81681409,0.879645943,+1,1.456110623
85,5.843362336,1.696460033,+1,0.977542528
86,4.272566009,3.581415625,+1,0.992648679
87,5.52920307,2.764601535,+1,2.916003632
88,1.256637061,2.45044227,+1,0.723068728
89,5.906194189,2.513274123,+1,1.758826622
90,0.942477796,4.021238597,+1,1.749069761
91,1.256637061,4.146902303,+1,1.146719247
92,1.319468915,3.707079331,+1,0.806423502
93,0.188495559,2.45044227,+1,0.630114287
94,1.445132621,5.906194189,+1,1.302498817
95,2.136283004,2.701769682,+1,1.315925878
96,5.654866776,3.707079331,+1,2.348834433
97,3.958406744,0.125663706,+1,1.116726273
98,1.130973355,4.523893421,+1,3.070711962
99,3.581415625,5.969026042,+1,2.539112557
100,1.319468915,1.193805208,+1,2.870020321
101,1.130973355,3.958406744,+1,1.392640711
102,0.942477796,0.879645943,+1,1.081724271
103,5.466371217,0.062831853,+1,1.712923494
104,5.654866776,0.125663706,+1,2.175229006
105,1.445132621,5.277875658,+1,2.587259211
106,2.890265241,4.08407045,+1,0.963375831
107,0.439822972,2.576105976,+1,2.529281309
108,4.586725274,2.387610417,+1,1.57117216
109,2.953097094,6.094689748,+1,0.412041557
110,4.523893421,2.199114858,+1,1.28149221
111,4.272566009,5.71769863,+1,0.984554302
112,0.753982237,0.81681409,+1,1.676976294
113,4.021238597,0.879645943,+1,1.808945684
114,0.062831853,2.136283004,+1,1.424880615
115,5.089380099,2.45044227,+1,2.45220988
116,4.209734156,0.81681409,+1,2.028671757
117,6.094689748,2.701769682,+1,2.87947591
118,5.843362336,0.251327412,+1,2.512030042
119,0.314159265,5.843362336,+1,1.542766032
120,3.518583772,3.769911184,+1,1.891149999
