,Data,,Label,Test Result,Testing Success
0,1.884955592,2.827433388,+1,1,1
1,5.089380099,0.753982237,+1,1,
2,5.654866776,5.215043805,+1,1,
3,1.193805208,3.89557489,+1,1,
4,2.890265241,2.073451151,+1,1,
5,0.376991118,3.958406744,+1,1,
6,4.586725274,0.691150384,+1,1,
7,5.969026042,2.953097094,+1,1,
8,6.031857895,2.701769682,+1,1,
9,4.146902303,1.068141502,+1,1,
10,2.638937829,2.45044227,+1,1,
11,1.256637061,4.209734156,+1,1,
12,3.644247478,5.52920307,+1,1,
13,0.81681409,1.382300768,+1,1,
14,0.314159265,5.403539364,+1,1,
15,2.701769682,5.215043805,+1,1,
16,2.261946711,5.403539364,+1,1,
17,1.445132621,5.340707511,+1,1,
18,1.822123739,0.942477796,+1,1,
19,4.71238898,1.445132621,+1,1,
20,0.879645943,3.832743037,+1,1,
21,3.330088213,2.387610417,+1,1,
22,1.193805208,3.707079331,+1,1,
23,1.822123739,6.031857895,+1,1,
24,2.890265241,5.52920307,+1,1,
25,3.769911184,4.461061568,+1,1,
26,2.638937829,0,+1,1,
27,4.461061568,5.277875658,+1,1,
28,2.387610417,2.324778564,+1,1,
29,5.277875658,5.403539364,+1,1,
30,6.094689748,4.146902303,+1,1,
31,6.031857895,3.581415625,+1,1,
32,5.403539364,1.005309649,+1,1,
33,4.398229715,4.08407045,+1,1,
34,0.942477796,0.753982237,+1,1,
35,0.691150384,0.188495559,+1,1,
36,5.466371217,5.340707511,+1,1,
37,5.969026042,0.314159265,+1,1,
38,0.879645943,4.08407045,+1,1,
39,0.502654825,1.068141502,+1,1,
40,0.565486678,1.130973355,+1,1,
41,1.130973355,0.691150384,+1,1,
42,5.089380099,2.324778564,+1,1,
43,1.193805208,4.146902303,+1,1,
44,5.969026042,1.759291886,+1,1,
45,2.890265241,5.089380099,+1,1,
46,6.220353454,3.644247478,+1,1,
47,0.81681409,1.570796327,+1,1,
48,3.581415625,4.586725274,+1,1,
49,3.832743037,4.523893421,+1,1,
50,4.523893421,3.958406744,+1,1,
51,3.078760801,5.780530483,+1,1,
52,2.953097094,5.152211952,+1,1,
53,5.654866776,3.769911184,+1,1,
54,1.256637061,4.838052687,+1,1,
55,4.021238597,0.879645943,+1,1,
56,4.963716393,6.157521601,+1,1,
57,1.507964474,0.628318531,+1,1,
58,1.256637061,3.644247478,+1,1,
59,5.152211952,3.958406744,+1,1,
60,1.445132621,0.628318531,+1,1,
61,6.157521601,5.215043805,+1,1,
62,3.707079331,6.031857895,+1,1,
63,5.52920307,4.398229715,+1,1,
64,0.691150384,0.753982237,+1,1,
65,1.570796327,4.523893421,+1,1,
66,3.707079331,4.71238898,+1,1,
67,4.209734156,0.628318531,+1,1,
68,3.769911184,0.879645943,+1,1,
69,4.649557127,1.005309649,+1,1,
70,0.81681409,0.188495559,+1,1,
71,5.906194189,2.324778564,+1,1,
72,5.906194189,3.518583772,+1,1,
73,3.392920066,4.523893421,+1,1,
74,1.884955592,5.843362336,+1,1,
75,2.576105976,2.387610417,+1,1,
76,3.015928947,4.523893421,+1,1,
77,5.592034923,4.398229715,+1,1,
78,3.707079331,4.586725274,+1,1,
79,2.513274123,1.005309649,+1,1,
80,4.461061568,0.81681409,+1,1,
81,2.010619298,2.701769682,+1,1,
82,3.141592654,4.021238597,+1,1,
83,3.644247478,2.576105976,+1,1,
84,0.81681409,0.879645943,+1,1,
85,5.843362336,1.696460033,+1,1,
86,4.272566009,3.581415625,+1,1,
87,5.52920307,2.764601535,+1,1,
88,1.256637061,2.45044227,+1,1,
89,5.906194189,2.513274123,+1,1,
90,0.942477796,4.021238597,+1,1,
91,1.256637061,4.146902303,+1,1,
92,1.319468915,3.707079331,+1,1,
93,0.188495559,2.45044227,+1,1,
94,1.445132621,5.906194189,+1,1,
95,2.136283004,2.701769682,+1,1,
96,5.654866776,3.707079331,+1,1,
97,3.958406744,0.125663706,+1,1,
98,1.130973355,4.523893421,+1,1,
99,3.581415625,5.969026042,+1,1,
100,1.319468915,1.193805208,+1,1,
101,1.130973355,3.958406744,+1,1,
102,0.942477796,0.879645943,+1,1,
103,5.466371217,0.062831853,+1,1,
104,5.654866776,0.125663706,+1,1,
105,1.445132621,5.277875658,+1,1,
106,2.890265241,4.08407045,+1,1,
107,0.439822972,2.576105976,+1,1,
108,4.586725274,2.387610417,+1,1,
109,2.953097094,6.094689748,+1,1,
110,4.523893421,2.199114858,+1,1,
111,4.272566009,5.71769863,+1,1,
112,0.753982237,0.81681409,+1,1,
113,4.021238597,0.879645943,+1,1,
114,0.062831853,2.136283004,+1,1,
115,5.089380099,2.45044227,+1,1,
116,4.209734156,0.81681409,+1,1,
117,6.094689748,2.701769682,+1,1,
118,5.843362336,0.251327412,+1,1,
119,0.314159265,5.843362336,+1,1,
120,3.518583772,3.769911184,+1,1,
121,1.130973355,0.942477796,+1,1,
122,4.272566009,1.130973355,+1,1,
123,4.586725274,4.963716393,+1,1,
124,3.89557489,4.146902303,+1,1,
125,4.021238597,3.644247478,+1,1,
126,2.45044227,5.71769863,+1,1,
127,2.513274123,5.654866776,+1,1,
128,4.523893421,6.220353454,+1,1,
129,0.062831853,3.958406744,+1,1,
130,0.376991118,5.403539364,+1,1,
131,4.146902303,3.707079331,+1,1,
132,1.507964474,1.319468915,+1,1,
133,5.969026042,0.942477796,+1,1,
134,4.461061568,0.565486678,+1,1,
135,5.340707511,0.81681409,+1,1,
136,0.188495559,0.502654825,+1,1,
137,5.843362336,5.52920307,+1,1,
138,3.581415625,4.335397862,+1,1,
139,5.340707511,5.466371217,+1,1,
140,2.45044227,5.466371217,+1,1,
141,0.565486678,1.130973355,+1,1,
142,4.272566009,5.780530483,+1,1,
143,5.466371217,4.398229715,+1,1,
144,0.879645943,3.89557489,+1,1,
145,5.215043805,2.764601535,+1,1,
146,6.031857895,1.005309649,+1,1,
147,3.455751919,2.764601535,+1,1,
148,3.204424507,5.340707511,+1,1,
149,1.382300768,4.146902303,+1,1,
150,3.141592654,2.387610417,+1,1,
151,0.376991118,3.958406744,+1,1,
152,1.068141502,1.130973355,+1,1,
153,0.879645943,1.130973355,+1,1,
154,2.701769682,5.089380099,+1,1,
155,5.52920307,5.71769863,+1,1,
156,4.021238597,0.565486678,+1,1,
157,5.52920307,1.696460033,+1,1,
158,4.90088454,2.513274123,+1,1,
159,4.838052687,2.638937829,+1,1,
160,4.146902303,3.769911184,+1,1,
161,3.26725636,2.638937829,+1,1,
162,1.382300768,4.523893421,+1,1,
163,0.942477796,2.45044227,+1,1,
164,5.592034923,2.324778564,+1,1,
165,3.832743037,4.649557127,+1,1,
166,3.581415625,4.398229715,+1,1,
167,1.256637061,5.843362336,+1,1,
168,0.439822972,2.45044227,+1,1,
169,2.953097094,2.136283004,+1,1,
170,0.81681409,4.08407045,+1,1,
171,3.141592654,2.010619298,+1,1,
172,1.884955592,5.71769863,+1,1,
173,3.078760801,2.387610417,+1,1,
174,3.392920066,3.958406744,+1,1,
175,1.130973355,5.403539364,+1,1,
176,6.157521601,4.209734156,+1,1,
177,5.780530483,5.215043805,+1,1,
178,0.753982237,4.209734156,+1,1,
179,5.969026042,5.340707511,+1,1,
180,3.078760801,2.513274123,+1,1,
181,4.209734156,4.08407045,+1,1,
182,0.439822972,1.193805208,+1,1,
183,1.507964474,5.152211952,+1,1,
184,3.832743037,4.71238898,+1,1,
185,6.031857895,1.696460033,+1,1,
186,1.63362818,0.879645943,+1,1,
187,0.691150384,0.314159265,+1,1,
188,3.89557489,0.565486678,+1,1,
189,0.125663706,0.502654825,+1,1,
190,2.638937829,2.073451151,+1,1,
191,3.078760801,0.628318531,+1,1,
192,2.010619298,2.701769682,+1,1,
193,1.319468915,5.152211952,+1,1,
194,4.272566009,5.592034923,+1,1,
195,5.654866776,4.272566009,+1,1,
196,5.654866776,0.628318531,+1,1,
197,4.586725274,6.094689748,+1,1,
198,1.507964474,4.335397862,+1,1,
199,0.628318531,1.445132621,+1,1,
200,6.094689748,3.455751919,+1,1,
201,3.26725636,1.947787445,+1,1,
202,3.832743037,5.403539364,+1,1,
203,1.445132621,6.094689748,+1,1,
204,0.502654825,2.701769682,+1,1,
205,4.838052687,2.45044227,+1,1,
206,1.884955592,0.691150384,+1,1,
207,0.125663706,5.340707511,+1,1,
208,5.277875658,2.953097094,+1,1,
209,2.638937829,2.387610417,+1,1,
210,5.466371217,2.890265241,+1,1,
211,0.125663706,3.832743037,+1,1,
212,0.81681409,0.753982237,+1,1,
213,5.466371217,2.324778564,+1,1,
214,2.953097094,5.592034923,+1,1,
215,5.71769863,2.764601535,+1,1,
216,1.068141502,0.502654825,+1,1,
217,0.691150384,0.691150384,+1,1,
218,0.062831853,0.879645943,+1,1,
219,2.953097094,5.215043805,+1,1,
220,2.261946711,0.565486678,-1,-1,
221,3.518583772,0.376991118,-1,-1,
222,4.209734156,5.277875658,-1,-1,
223,1.947787445,5.215043805,-1,-1,
224,0.691150384,2.261946711,-1,-1,
225,1.884955592,5.215043805,-1,-1,
226,4.523893421,4.649557127,-1,-1,
227,4.08407045,5.089380099,-1,-1,
228,0.188495559,0.188495559,-1,-1,
229,2.261946711,4.838052687,-1,-1,
230,4.272566009,2.261946711,-1,-1,
231,4.398229715,0.062831853,-1,-1,
232,2.136283004,0.942477796,-1,-1,
233,2.324778564,4.209734156,-1,-1,
234,3.455751919,0.125663706,-1,-1,
235,3.392920066,0.753982237,-1,-1,
236,3.455751919,0.376991118,-1,-1,
237,5.152211952,1.193805208,-1,-1,
238,0.188495559,2.953097094,-1,-1,
239,1.822123739,0.439822972,-1,-1,
240,3.832743037,1.63362818,-1,-1,
241,6.220353454,0.81681409,-1,-1,
242,5.152211952,1.130973355,-1,-1,
243,0.125663706,3.204424507,-1,-1,
244,3.581415625,5.403539364,-1,-1,
245,0.125663706,2.827433388,-1,-1,
246,0.753982237,3.392920066,-1,-1,
247,1.884955592,0.314159265,-1,-1,
248,5.403539364,3.26725636,-1,-1,
249,3.89557489,2.010619298,-1,-1,
250,1.884955592,3.958406744,-1,-1,
251,5.026548246,5.277875658,-1,-1,
252,1.822123739,0.314159265,-1,-1,
253,2.387610417,3.204424507,-1,-1,
254,5.654866776,4.08407045,-1,-1,
255,4.209734156,2.324778564,-1,-1,
256,5.152211952,4.209734156,-1,-1,
257,0.691150384,6.031857895,-1,-1,
258,6.157521601,1.256637061,-1,-1,
259,3.644247478,3.204424507,-1,-1,
260,5.592034923,4.021238597,-1,-1,
261,2.764601535,3.015928947,-1,-1,
262,4.209734156,1.759291886,-1,-1,
263,4.08407045,6.031857895,-1,-1,
264,5.654866776,0.81681409,-1,-1,
265,6.220353454,3.832743037,-1,-1,
266,5.71769863,4.838052687,-1,-1,
267,0.628318531,3.455751919,-1,-1,
268,4.71238898,4.398229715,-1,-1,
269,4.209734156,4.71238898,-1,-1,
270,5.969026042,4.461061568,-1,-1,
271,2.261946711,1.507964474,-1,-1,
272,2.199114858,4.775220833,-1,-1,
273,4.963716393,3.518583772,-1,-1,
274,2.827433388,3.26725636,-1,-1,
275,3.455751919,5.843362336,-1,-1,
276,3.518583772,5.277875658,-1,-1,
277,5.403539364,6.220353454,-1,-1,
278,3.958406744,1.884955592,-1,-1,
279,4.461061568,2.890265241,-1,-1,
280,6.220353454,0.81681409,-1,-1,
281,1.884955592,4.963716393,-1,-1,
282,4.08407045,1.63362818,-1,-1,
283,4.08407045,1.696460033,-1,-1,
284,0.565486678,3.392920066,-1,-1,
285,0,5.843362336,-1,-1,
286,5.277875658,4.209734156,-1,-1,
287,2.199114858,1.947787445,-1,-1,
288,4.08407045,5.466371217,-1,-1,
289,4.586725274,5.780530483,-1,-1,
290,3.581415625,5.152211952,-1,-1,
291,5.654866776,0.942477796,-1,-1,
292,5.780530483,3.26725636,-1,-1,
293,0.439822972,3.518583772,-1,-1,
294,3.958406744,1.884955592,-1,-1,
295,5.654866776,4.71238898,-1,-1,
296,0,2.827433388,-1,-1,
297,2.073451151,3.89557489,-1,-1,
298,2.073451151,4.272566009,-1,-1,
299,2.701769682,1.382300768,-1,-1,
300,4.272566009,2.261946711,-1,-1,
301,0.251327412,6.157521601,-1,-1,
302,5.780530483,4.838052687,-1,-1,
303,1.947787445,0.251327412,-1,-1,
304,3.455751919,0.251327412,-1,-1,
305,4.272566009,2.324778564,-1,-1,
306,4.146902303,2.45044227,-1,-1,
307,5.780530483,3.330088213,-1,-1,
308,3.204424507,3.078760801,-1,-1,
309,0.439822972,3.26725636,-1,-1,
310,2.576105976,1.507964474,-1,-1,
311,2.073451151,1.884955592,-1,-1,
312,3.330088213,3.204424507,-1,-1,
313,1.005309649,6.220353454,-1,-1,
314,0.628318531,5.340707511,-1,-1,
315,0.628318531,2.324778564,-1,-1,
316,3.707079331,1.759291886,-1,-1,
317,0.439822972,3.392920066,-1,-1,
318,0.502654825,2.890265241,-1,-1,
319,3.769911184,1.696460033,-1,-1,
320,0.753982237,3.141592654,-1,-1,
321,2.010619298,1.256637061,-1,-1,
322,6.031857895,1.319468915,-1,-1,
323,5.277875658,4.838052687,-1,-1,
324,0.125663706,3.518583772,-1,-1,
325,2.136283004,1.005309649,-1,-1,
326,3.015928947,3.078760801,-1,-1,
327,5.089380099,1.130973355,-1,-1,
328,4.963716393,3.518583772,-1,-1,
329,2.638937829,2.890265241,-1,-1,
330,4.209734156,2.764601535,-1,-1,
331,5.215043805,0.502654825,-1,-1,
332,6.157521601,3.832743037,-1,-1,
333,1.947787445,1.319468915,-1,-1,
334,0.062831853,2.890265241,-1,-1,
335,2.387610417,4.146902303,-1,-1,
336,4.335397862,4.523893421,-1,-1,
337,2.261946711,4.272566009,-1,-1,
338,6.094689748,1.256637061,-1,-1,
339,2.136283004,3.958406744,-1,-1,
340,4.021238597,2.136283004,-1,-1,
341,4.021238597,6.031857895,-1,-1,
342,2.764601535,3.26725636,-1,-1,
343,1.068141502,2.136283004,-1,-1,
344,0.125663706,0.314159265,-1,-1,
345,4.963716393,5.403539364,-1,-1,
346,3.644247478,1.63362818,-1,-1,
347,1.193805208,3.330088213,-1,-1,
348,5.089380099,4.963716393,-1,-1,
349,4.146902303,4.90088454,-1,-1,
350,4.335397862,4.586725274,-1,-1,
351,4.146902303,5.592034923,-1,-1,
352,4.146902303,0,-1,-1,
353,2.136283004,4.272566009,-1,-1,
354,5.089380099,0.062831853,-1,-1,
355,3.581415625,5.152211952,-1,-1,
356,5.026548246,0.879645943,-1,-1,
357,0.628318531,4.838052687,-1,-1,
358,4.649557127,1.822123739,-1,-1,
359,4.021238597,1.884955592,-1,-1,
360,5.089380099,0.942477796,-1,-1,
361,1.507964474,2.576105976,-1,-1,
362,2.638937829,1.193805208,-1,-1,
363,2.890265241,3.141592654,-1,-1,
364,5.969026042,4.398229715,-1,-1,
365,0.879645943,3.141592654,-1,-1,
366,4.08407045,3.141592654,-1,-1,
367,4.71238898,4.649557127,-1,-1,
368,2.701769682,1.193805208,-1,-1,
369,5.906194189,3.204424507,-1,-1,
370,3.392920066,6.157521601,-1,-1,
371,1.63362818,3.832743037,-1,-1,
372,4.963716393,0.81681409,-1,-1,
373,4.021238597,2.324778564,-1,-1,
374,4.90088454,5.466371217,-1,-1,
375,1.947787445,4.021238597,-1,-1,
376,5.403539364,5.026548246,-1,-1,
377,0.81681409,5.654866776,-1,-1,
378,5.089380099,1.068141502,-1,-1,
379,2.073451151,4.021238597,-1,-1,
380,5.843362336,1.068141502,-1,-1,
381,3.204424507,0.188495559,-1,-1,
382,2.513274123,3.141592654,-1,-1,
383,1.005309649,2.010619298,-1,-1,
384,2.827433388,3.204424507,-1,-1,
385,1.068141502,3.26725636,-1,-1,
386,4.335397862,4.523893421,-1,-1,
387,1.193805208,0.062831853,-1,-1,
388,5.089380099,1.884955592,-1,-1,
389,3.015928947,3.204424507,-1,-1,
390,5.969026042,3.204424507,-1,-1,
391,5.843362336,3.392920066,-1,-1,
392,2.261946711,1.507964474,-1,-1,
393,5.52920307,0.81681409,-1,-1,
394,0.628318531,5.969026042,-1,-1,
395,0.502654825,4.838052687,-1,-1,
396,1.570796327,2.513274123,-1,-1,
397,4.335397862,2.953097094,-1,-1,
398,5.026548246,1.822123739,-1,-1,
399,3.204424507,6.220353454,-1,-1,
400,3.769911184,2.136283004,-1,-1,
401,4.461061568,0,-1,-1,
402,5.340707511,4.838052687,-1,-1,
