,Data,,Label,Training Error
0,4.272566009,2.953097094,+1,0.0258
1,5.592034923,2.136283004,+1,
2,2.073451151,3.330088213,+1,
3,3.707079331,0.502654825,+1,
4,2.073451151,0.565486678,+1,
5,2.073451151,5.152211952,+1,
6,0.376991118,3.392920066,+1,
7,2.576105976,5.592034923,+1,
8,2.261946711,3.392920066,+1,
9,2.576105976,3.26725636,+1,
10,5.52920307,5.215043805,+1,
11,5.026548246,3.141592654,+1,
12,4.586725274,5.71769863,+1,
13,2.073451151,0.251327412,+1,
14,5.277875658,5.215043805,+1,
15,3.455751919,6.157521601,+1,
16,2.638937829,5.592034923,+1,
17,0.251327412,2.701769682,+1,
18,0.879645943,0.125663706,+1,
19,4.398229715,0.691150384,+1,
20,3.204424507,4.523893421,-1,
21,3.26725636,2.827433388,-1,
22,0.691150384,5.906194189,-1,
23,3.832743037,2.199114858,-1,
24,5.089380099,2.45044227,-1,
25,0.376991118,4.335397862,-1,
26,2.953097094,2.261946711,-1,
27,3.015928947,1.193805208,-1,
28,3.015928947,5.466371217,-1,
29,0.188495559,5.152211952,-1,
30,1.822123739,4.71238898,-1,
31,2.764601535,4.209734156,-1,
32,3.204424507,2.701769682,-1,
33,4.523893421,2.199114858,-1,
34,0.251327412,0.942477796,-1,
35,3.26725636,1.696460033,-1,
36,3.141592654,0.879645943,-1,
37,3.078760801,2.638937829,-1,
38,4.838052687,0.628318531,-1,
39,4.838052687,5.71769863,-1,
