,Data,,Label,Test Result,Testing Success
0,1.005309649,4.272566009,+1,1,0.9925
1,4.523893421,0.502654825,+1,1,
2,5.52920307,4.398229715,+1,1,
3,2.261946711,0.691150384,+1,1,
4,3.26725636,1.63362818,+1,1,
5,4.649557127,5.52920307,+1,1,
6,3.832743037,5.969026042,+1,1,
7,2.576105976,0,+1,1,
8,0,4.461061568,+1,1,
9,2.199114858,3.832743037,+1,1,
10,0.628318531,5.466371217,+1,1,
11,5.843362336,4.335397862,+1,1,
12,5.152211952,4.335397862,+1,1,
13,4.586725274,5.780530483,+1,1,
14,5.466371217,4.461061568,+1,1,
15,2.513274123,4.523893421,+1,1,
16,3.89557489,0.753982237,+1,1,
17,1.130973355,2.136283004,+1,1,
18,1.696460033,0.314159265,+1,1,
19,2.199114858,5.466371217,+1,1,
20,3.644247478,2.073451151,+1,1,
21,1.382300768,0.879645943,+1,1,
22,0.376991118,2.324778564,+1,1,
23,3.644247478,6.031857895,+1,1,
24,4.209734156,0.81681409,+1,1,
25,5.52920307,5.403539364,+1,1,
26,4.461061568,4.08407045,+1,1,
27,0.753982237,4.586725274,+1,1,
28,1.005309649,2.199114858,+1,1,
29,1.445132621,3.455751919,+1,1,
30,0.565486678,2.324778564,+1,1,
31,4.209734156,4.08407045,+1,1,
32,4.71238898,3.707079331,+1,1,
33,1.256637061,0.942477796,+1,1,
34,5.403539364,1.947787445,+1,1,
35,2.576105976,4.523893421,+1,1,
36,0.879645943,4.209734156,+1,1,
37,1.193805208,5.466371217,+1,1,
38,3.581415625,1.696460033,+1,1,
39,2.764601535,1.884955592,+1,1,
40,0.81681409,2.638937829,+1,1,
41,1.63362818,0,+1,1,
42,4.146902303,2.387610417,+1,1,
43,6.031857895,3.89557489,+1,1,
44,0.942477796,2.701769682,+1,1,
45,4.90088454,0.188495559,+1,1,
46,1.130973355,3.644247478,+1,1,
47,1.319468915,0.376991118,+1,1,
48,0.753982237,5.340707511,+1,1,
49,0.565486678,2.701769682,+1,1,
50,5.403539364,1.382300768,+1,1,
51,0.753982237,5.403539364,+1,1,
52,1.382300768,0.314159265,+1,1,
53,4.08407045,0.439822972,+1,1,
54,1.319468915,2.136283004,+1,-1,
55,0.81681409,0.753982237,+1,1,
56,5.089380099,1.445132621,+1,1,
57,3.89557489,0.251327412,+1,1,
58,2.199114858,0.628318531,+1,1,
59,3.644247478,5.780530483,+1,1,
60,3.015928947,4.649557127,+1,1,
61,0.251327412,2.199114858,+1,1,
62,1.068141502,4.586725274,+1,1,
63,3.015928947,5.780530483,+1,1,
64,5.026548246,4.461061568,+1,1,
65,0.691150384,6.157521601,+1,1,
66,4.209734156,4.021238597,+1,1,
67,5.906194189,0.502654825,+1,1,
68,5.52920307,5.403539364,+1,1,
69,2.387610417,4.398229715,+1,1,
70,5.592034923,4.586725274,+1,1,
71,4.209734156,4.021238597,+1,1,
72,4.71238898,3.832743037,+1,1,
73,1.382300768,0.691150384,+1,1,
74,4.461061568,5.906194189,+1,1,
75,5.466371217,1.382300768,+1,1,
76,3.832743037,6.094689748,+1,1,
77,0.879645943,3.958406744,+1,1,
78,4.523893421,3.958406744,+1,1,
79,5.906194189,4.209734156,+1,1,
80,4.838052687,3.644247478,+1,1,
81,6.094689748,2.890265241,+1,1,
82,2.136283004,0.753982237,+1,1,
83,4.272566009,1.130973355,+1,1,
84,2.136283004,2.387610417,+1,1,
85,3.581415625,5.780530483,+1,1,
86,3.078760801,1.507964474,+1,1,
87,0.439822972,2.764601535,+1,1,
88,1.193805208,0.942477796,+1,1,
89,2.953097094,1.884955592,+1,1,
90,1.068141502,4.398229715,+1,1,
91,2.890265241,1.319468915,+1,1,
92,5.906194189,2.199114858,+1,1,
93,0.879645943,0.565486678,+1,1,
94,0.628318531,2.324778564,+1,1,
95,4.523893421,0.188495559,+1,1,
96,2.953097094,5.215043805,+1,1,
97,3.518583772,6.220353454,+1,1,
98,5.654866776,1.63362818,+1,1,
99,3.015928947,1.382300768,+1,1,
100,3.26725636,1.256637061,+1,1,
101,1.570796327,2.576105976,+1,1,
102,1.884955592,2.513274123,+1,1,
103,0.879645943,4.335397862,+1,1,
104,4.08407045,0.81681409,+1,1,
105,6.094689748,5.215043805,+1,1,
106,3.89557489,2.010619298,+1,1,
107,0.502654825,0.314159265,+1,1,
108,5.026548246,3.707079331,+1,1,
109,2.073451151,3.769911184,+1,1,
110,2.136283004,5.654866776,+1,1,
111,0.439822972,0.502654825,+1,1,
112,2.199114858,2.261946711,+1,1,
113,1.193805208,0.439822972,+1,1,
114,1.382300768,3.455751919,+1,1,
115,0.565486678,0.062831853,+1,1,
116,0,2.45044227,+1,-1,
117,1.382300768,0.942477796,+1,1,
118,3.769911184,0.691150384,+1,1,
119,4.398229715,0,+1,1,
120,5.71769863,2.199114858,+1,1,
121,5.340707511,1.696460033,+1,1,
122,3.518583772,5.906194189,+1,1,
123,0.565486678,2.261946711,+1,1,
124,0.439822972,3.644247478,+1,1,
125,5.52920307,4.71238898,+1,1,
126,2.827433388,6.157521601,+1,1,
127,0.565486678,4.586725274,+1,1,
128,3.958406744,0.439822972,+1,1,
129,5.654866776,0.691150384,+1,1,
130,3.707079331,5.780530483,+1,1,
131,4.335397862,1.130973355,+1,1,
132,2.387610417,4.335397862,+1,1,
133,5.215043805,0.753982237,+1,1,
134,2.638937829,4.461061568,+1,1,
135,3.707079331,5.403539364,+1,1,
136,2.073451151,3.89557489,+1,1,
137,3.644247478,5.466371217,+1,1,
138,2.45044227,2.324778564,+1,1,
139,4.90088454,0.376991118,+1,1,
140,0.81681409,2.701769682,+1,1,
141,5.52920307,5.403539364,+1,1,
142,4.461061568,5.780530483,+1,1,
143,3.581415625,5.71769863,+1,1,
144,5.654866776,1.696460033,+1,1,
145,4.272566009,4.08407045,+1,1,
146,3.581415625,1.507964474,+1,1,
147,3.769911184,3.89557489,+1,1,
148,5.843362336,3.707079331,+1,1,
149,1.193805208,2.827433388,+1,1,
150,1.068141502,1.63362818,+1,1,
151,6.220353454,0.753982237,+1,1,
152,5.654866776,3.707079331,+1,1,
153,3.015928947,4.838052687,+1,1,
154,2.638937829,4.209734156,+1,1,
155,2.199114858,5.654866776,+1,1,
156,5.466371217,0.879645943,+1,1,
157,2.576105976,0.251327412,+1,1,
158,1.256637061,4.71238898,+1,1,
159,5.780530483,6.220353454,+1,1,
160,2.764601535,2.261946711,+1,1,
161,5.52920307,2.701769682,+1,1,
162,3.644247478,1.193805208,+1,1,
163,5.843362336,0.314159265,+1,1,
164,0.502654825,2.701769682,+1,1,
165,0.81681409,2.576105976,+1,1,
166,3.769911184,5.843362336,+1,1,
167,3.958406744,3.832743037,+1,1,
168,1.445132621,0.879645943,+1,1,
169,4.649557127,3.707079331,+1,1,
170,1.005309649,2.261946711,+1,1,
171,5.780530483,1.884955592,+1,1,
172,0.188495559,5.403539364,+1,1,
173,3.89557489,3.89557489,+1,1,
174,3.89557489,2.45044227,+1,1,
175,1.005309649,3.832743037,+1,1,
176,5.340707511,3.644247478,+1,1,
177,1.382300768,4.775220833,+1,1,
178,2.638937829,1.570796327,+1,1,
179,3.707079331,5.780530483,+1,1,
180,4.021238597,3.644247478,+1,1,
181,5.71769863,0.691150384,+1,1,
182,0.502654825,5.592034923,+1,1,
183,5.466371217,0.942477796,+1,1,
184,0.565486678,5.71769863,+1,1,
185,2.701769682,5.71769863,+1,1,
186,0.81681409,4.461061568,+1,1,
187,2.45044227,4.461061568,+1,1,
188,3.455751919,1.382300768,+1,1,
189,3.832743037,5.906194189,+1,1,
190,5.340707511,1.759291886,+1,1,
191,1.570796327,0.314159265,+1,1,
192,5.71769863,5.403539364,+1,1,
193,1.130973355,4.461061568,+1,1,
194,2.324778564,5.843362336,+1,1,
195,3.078760801,4.71238898,+1,1,
196,1.130973355,4.021238597,+1,1,
197,2.638937829,5.780530483,+1,1,
198,3.518583772,2.073451151,+1,1,
199,5.52920307,2.45044227,+1,1,
200,2.136283004,5.71769863,+1,1,
201,5.592034923,2.010619298,+1,1,
202,6.031857895,2.827433388,+1,1,
203,2.827433388,2.010619298,+1,1,
204,0,2.387610417,+1,1,
205,1.068141502,2.764601535,+1,1,
206,0.753982237,2.199114858,+1,1,
207,3.392920066,2.073451151,+1,1,
208,1.130973355,5.52920307,+1,1,
209,1.319468915,4.272566009,+1,1,
210,3.958406744,3.644247478,+1,1,
211,6.094689748,3.832743037,+1,1,
212,3.644247478,5.592034923,+1,1,
213,0.439822972,5.71769863,+1,1,
214,0.942477796,5.654866776,+1,1,
215,5.52920307,3.644247478,+1,1,
216,0.691150384,5.592034923,+1,1,
217,3.769911184,5.906194189,+1,1,
218,2.701769682,6.031857895,+1,1,
219,4.586725274,0.125663706,+1,1,
220,4.71238898,3.769911184,+1,1,
221,1.193805208,4.586725274,+1,1,
222,2.513274123,0.439822972,+1,1,
223,1.193805208,0.753982237,+1,1,
224,0.753982237,4.335397862,+1,1,
225,4.398229715,0.439822972,+1,1,
226,0.376991118,0.376991118,+1,1,
227,4.272566009,2.261946711,+1,1,
228,1.759291886,0.251327412,+1,1,
229,2.764601535,2.073451151,+1,1,
230,2.324778564,5.340707511,+1,1,
231,5.403539364,0.691150384,+1,1,
232,2.073451151,2.638937829,+1,1,
233,5.340707511,1.319468915,+1,1,
234,1.068141502,4.021238597,+1,1,
235,1.130973355,0.628318531,+1,1,
236,3.455751919,1.005309649,+1,1,
237,0.942477796,4.523893421,+1,1,
238,1.005309649,1.507964474,+1,1,
239,5.466371217,1.507964474,+1,1,
240,1.382300768,3.392920066,+1,1,
241,3.958406744,5.403539364,+1,1,
242,4.209734156,3.707079331,+1,1,
243,3.26725636,1.884955592,+1,1,
244,5.843362336,1.884955592,+1,1,
245,4.523893421,1.319468915,+1,1,
246,4.146902303,2.387610417,+1,1,
247,3.644247478,5.843362336,+1,1,
248,4.523893421,1.256637061,+1,1,
249,1.507964474,0.251327412,+1,1,
250,0.81681409,0.691150384,+1,1,
251,5.52920307,1.884955592,+1,1,
252,1.319468915,1.130973355,+1,1,
253,0.251327412,1.319468915,+1,1,
254,2.513274123,3.958406744,+1,1,
255,1.507964474,0,+1,-1,
256,2.387610417,2.513274123,+1,1,
257,0,1.884955592,+1,1,
258,3.141592654,1.570796327,+1,1,
259,0.753982237,2.576105976,+1,1,
260,5.654866776,3.644247478,+1,1,
261,5.969026042,4.461061568,+1,1,
262,5.52920307,3.769911184,+1,1,
263,1.256637061,2.890265241,+1,1,
264,3.455751919,0.879645943,+1,1,
265,3.707079331,6.031857895,+1,1,
266,2.701769682,4.649557127,+1,1,
267,0.753982237,0.628318531,+1,1,
268,3.832743037,3.89557489,+1,1,
269,2.576105976,5.277875658,+1,1,
270,5.466371217,1.759291886,+1,1,
271,4.335397862,3.89557489,+1,1,
272,0.565486678,0.251327412,+1,1,
273,1.068141502,5.654866776,+1,1,
274,3.644247478,0.879645943,+1,1,
275,2.261946711,5.52920307,+1,1,
276,0.502654825,0.81681409,+1,1,
277,5.089380099,4.586725274,+1,1,
278,3.707079331,2.010619298,+1,1,
279,5.52920307,2.010619298,+1,1,
280,2.513274123,4.146902303,+1,1,
281,1.256637061,4.335397862,+1,1,
282,2.136283004,4.08407045,+1,1,
283,0.628318531,0.691150384,+1,1,
284,1.319468915,0.314159265,+1,1,
285,5.215043805,1.256637061,+1,1,
286,3.89557489,5.906194189,+1,1,
287,5.52920307,0.565486678,+1,1,
288,5.843362336,4.146902303,+1,1,
289,2.701769682,5.843362336,+1,1,
290,3.581415625,2.199114858,+1,1,
291,4.71238898,0.125663706,+1,1,
292,3.769911184,6.031857895,+1,1,
293,0.691150384,2.513274123,+1,1,
294,5.843362336,1.884955592,+1,1,
295,2.324778564,4.08407045,+1,1,
296,1.068141502,5.340707511,+1,1,
297,1.884955592,2.638937829,+1,1,
298,2.261946711,4.146902303,+1,1,
299,5.340707511,4.461061568,+1,1,
300,3.015928947,4.649557127,+1,1,
301,4.775220833,3.832743037,+1,1,
302,1.445132621,0.376991118,+1,1,
303,3.832743037,4.08407045,+1,1,
304,4.146902303,1.005309649,+1,1,
305,4.461061568,0.439822972,+1,1,
306,0.439822972,5.654866776,+1,1,
307,4.586725274,0.502654825,+1,1,
308,0.691150384,6.220353454,+1,1,
309,5.52920307,2.45044227,+1,1,
310,3.581415625,2.324778564,+1,1,
311,1.256637061,0.628318531,+1,1,
312,0.753982237,2.576105976,+1,1,
313,3.455751919,2.261946711,+1,1,
314,5.466371217,1.696460033,+1,1,
315,5.152211952,4.335397862,+1,1,
316,0.125663706,4.461061568,+1,1,
317,3.204424507,1.884955592,+1,1,
318,2.764601535,1.696460033,+1,1,
319,3.707079331,2.261946711,+1,1,
320,2.45044227,0.188495559,+1,1,
321,1.193805208,4.523893421,+1,1,
322,4.021238597,0.628318531,+1,1,
323,2.073451151,2.45044227,+1,1,
324,5.089380099,4.461061568,+1,1,
325,1.005309649,2.261946711,+1,1,
326,0.376991118,5.780530483,+1,1,
327,5.843362336,2.576105976,+1,1,
328,5.906194189,4.523893421,+1,1,
329,2.764601535,4.586725274,+1,1,
330,0.628318531,1.005309649,+1,1,
331,4.272566009,2.261946711,+1,1,
332,2.827433388,5.466371217,+1,1,
333,1.005309649,3.958406744,+1,1,
334,1.130973355,6.031857895,+1,1,
