,Data,,Label,Test Result,Testing Success
0,0.81681409,3.141592654,+1,1,0.99125
1,3.707079331,3.392920066,+1,1,
2,1.130973355,4.586725274,+1,1,
3,5.466371217,0.251327412,+1,1,
4,2.073451151,0.439822972,+1,1,
5,0.502654825,1.382300768,+1,1,
6,5.592034923,1.759291886,+1,1,
7,3.89557489,4.398229715,+1,1,
8,5.466371217,1.507964474,+1,1,
9,1.947787445,1.193805208,+1,1,
10,3.958406744,2.576105976,+1,1,
11,1.759291886,1.130973355,+1,1,
12,1.382300768,5.215043805,+1,1,
13,0.125663706,5.843362336,+1,1,
14,5.152211952,3.769911184,+1,1,
15,5.340707511,4.398229715,+1,1,
16,4.461061568,2.701769682,+1,1,
17,1.947787445,1.63362818,+1,1,
18,4.90088454,2.953097094,+1,1,
19,5.654866776,1.130973355,+1,1,
20,2.513274123,3.644247478,+1,1,
21,6.031857895,3.518583772,+1,1,
22,5.277875658,1.507964474,+1,1,
23,6.094689748,4.461061568,+1,1,
24,5.71769863,3.644247478,+1,1,
25,0.753982237,5.152211952,+1,1,
26,3.644247478,5.71769863,+1,1,
27,5.71769863,2.890265241,+1,1,
28,5.215043805,5.969026042,+1,1,
29,2.827433388,6.094689748,+1,1,
30,0.691150384,1.256637061,+1,1,
31,0.628318531,2.638937829,+1,1,
32,4.775220833,2.953097094,+1,1,
33,0.753982237,5.152211952,+1,1,
34,3.832743037,4.523893421,+1,1,
35,4.08407045,3.581415625,+1,1,
36,0.879645943,0.376991118,+1,1,
37,5.403539364,4.272566009,+1,1,
38,0.502654825,3.141592654,+1,1,
39,5.026548246,0.502654825,+1,1,
40,4.335397862,1.759291886,+1,1,
41,1.884955592,3.015928947,+1,1,
42,4.335397862,3.707079331,+1,1,
43,5.969026042,1.382300768,+1,1,
44,3.958406744,2.324778564,+1,1,
45,0.565486678,2.638937829,+1,1,
46,3.392920066,2.261946711,+1,1,
47,5.152211952,5.969026042,+1,1,
48,1.570796327,5.403539364,+1,1,
49,2.701769682,0.81681409,+1,1,
50,4.209734156,2.701769682,+1,1,
51,3.644247478,2.387610417,+1,1,
52,4.398229715,2.890265241,+1,1,
53,0.628318531,5.026548246,+1,1,
54,1.005309649,6.157521601,+1,1,
55,3.392920066,2.136283004,+1,1,
56,3.832743037,3.392920066,+1,1,
57,0.753982237,2.701769682,+1,1,
58,5.340707511,4.335397862,+1,1,
59,3.832743037,2.890265241,+1,1,
60,0.879645943,5.340707511,+1,1,
61,3.832743037,4.775220833,+1,1,
62,4.08407045,3.330088213,+1,1,
63,2.576105976,0.879645943,+1,1,
64,2.010619298,0.879645943,+1,1,
65,0.376991118,2.764601535,+1,1,
66,5.340707511,1.570796327,+1,1,
67,0.125663706,2.701769682,+1,-1,
68,4.586725274,3.832743037,+1,1,
69,5.089380099,1.445132621,+1,1,
70,0.439822972,1.63362818,+1,1,
71,3.89557489,2.387610417,+1,1,
72,5.403539364,4.398229715,+1,1,
73,5.215043805,1.445132621,+1,1,
74,0.628318531,0.502654825,+1,1,
75,1.570796327,0.439822972,+1,1,
76,2.890265241,3.392920066,+1,1,
77,3.644247478,3.204424507,+1,1,
78,2.701769682,4.963716393,+1,1,
79,5.654866776,1.570796327,+1,1,
80,0.691150384,2.701769682,+1,1,
81,4.272566009,2.953097094,+1,1,
82,1.382300768,5.152211952,+1,1,
83,2.576105976,3.769911184,+1,1,
84,4.146902303,3.455751919,+1,1,
85,5.340707511,4.523893421,+1,1,
86,5.71769863,0.439822972,+1,1,
87,0.81681409,0.251327412,+1,1,
88,0.879645943,1.884955592,+1,1,
89,1.822123739,1.382300768,+1,1,
90,2.764601535,0.942477796,+1,1,
91,5.152211952,4.461061568,+1,1,
92,1.63362818,5.780530483,+1,1,
93,1.445132621,5.215043805,+1,1,
94,0.188495559,5.466371217,+1,1,
95,5.403539364,3.015928947,+1,1,
96,4.71238898,2.827433388,+1,1,
97,0.565486678,1.256637061,+1,1,
98,0.628318531,1.445132621,+1,1,
99,4.146902303,0,+1,1,
100,0.439822972,5.654866776,+1,1,
101,2.513274123,4.021238597,+1,1,
102,1.193805208,4.461061568,+1,1,
103,2.073451151,1.570796327,+1,1,
104,0.502654825,5.71769863,+1,1,
105,3.392920066,2.073451151,+1,1,
106,5.52920307,2.890265241,+1,1,
107,5.152211952,2.890265241,+1,1,
108,4.586725274,2.827433388,+1,1,
109,5.71769863,3.644247478,+1,1,
110,2.199114858,3.769911184,+1,1,
111,3.644247478,5.403539364,+1,1,
112,0.376991118,2.638937829,+1,1,
113,2.764601535,5.026548246,+1,1,
114,5.71769863,1.193805208,+1,1,
115,4.209734156,5.969026042,+1,1,
116,2.261946711,0.062831853,+1,1,
117,3.644247478,5.466371217,+1,1,
118,2.073451151,0.565486678,+1,1,
119,3.455751919,2.199114858,+1,1,
120,2.513274123,0,+1,1,
121,1.696460033,1.256637061,+1,1,
122,6.094689748,4.461061568,+1,1,
123,5.71769863,2.890265241,+1,1,
124,4.146902303,0.439822972,+1,1,
125,5.340707511,0.188495559,+1,1,
126,2.324778564,4.838052687,+1,1,
127,6.220353454,1.445132621,+1,1,
128,5.592034923,0.502654825,+1,1,
129,6.220353454,5.089380099,+1,1,
130,2.199114858,1.382300768,+1,1,
131,6.220353454,5.026548246,+1,1,
132,2.199114858,1.445132621,+1,1,
133,2.890265241,5.592034923,+1,1,
134,5.466371217,1.382300768,+1,1,
135,0.81681409,1.63362818,+1,1,
136,4.90088454,2.890265241,+1,1,
137,5.277875658,4.461061568,+1,1,
138,3.769911184,3.141592654,+1,1,
139,0.81681409,1.696460033,+1,1,
140,5.71769863,2.890265241,+1,1,
141,1.822123739,6.157521601,+1,1,
142,2.513274123,3.581415625,+1,1,
143,4.146902303,2.513274123,+1,1,
144,4.398229715,2.513274123,+1,1,
145,5.969026042,2.827433388,+1,1,
146,4.90088454,1.130973355,+1,1,
147,5.403539364,0.879645943,+1,1,
148,5.089380099,6.220353454,+1,1,
149,1.068141502,1.256637061,+1,1,
150,0.376991118,1.570796327,+1,1,
151,1.445132621,0.81681409,+1,1,
152,3.707079331,4.963716393,+1,1,
153,2.701769682,3.581415625,+1,1,
154,2.513274123,5.089380099,+1,1,
155,3.707079331,5.592034923,+1,1,
156,5.089380099,6.094689748,+1,1,
157,1.445132621,0.942477796,+1,1,
158,2.513274123,5.026548246,+1,1,
159,2.136283004,0.314159265,+1,1,
160,0.125663706,2.324778564,+1,1,
161,3.644247478,2.576105976,+1,1,
162,4.71238898,2.764601535,+1,1,
163,3.644247478,6.031857895,+1,1,
164,0.125663706,0.81681409,+1,1,
165,2.576105976,3.518583772,+1,1,
166,2.199114858,2.953097094,+1,1,
167,4.963716393,3.015928947,+1,1,
168,6.157521601,5.089380099,+1,1,
169,2.073451151,3.078760801,+1,1,
170,3.455751919,3.26725636,+1,1,
171,0.879645943,5.277875658,+1,1,
172,4.71238898,3.015928947,+1,1,
173,2.701769682,3.89557489,+1,1,
174,0.188495559,3.958406744,+1,1,
175,4.335397862,2.890265241,+1,1,
176,5.466371217,3.644247478,+1,1,
177,1.696460033,1.570796327,+1,1,
178,5.969026042,6.220353454,+1,1,
179,0.314159265,3.015928947,+1,1,
180,4.90088454,1.130973355,+1,1,
181,1.570796327,1.696460033,+1,1,
182,1.068141502,1.256637061,+1,1,
183,0.502654825,2.890265241,+1,1,
184,5.52920307,0.314159265,+1,1,
185,4.272566009,3.455751919,+1,1,
186,2.387610417,1.382300768,+1,1,
187,2.827433388,5.340707511,+1,1,
188,3.392920066,3.330088213,+1,1,
189,2.953097094,5.466371217,+1,1,
190,2.45044227,3.958406744,+1,1,
191,5.277875658,3.141592654,+1,1,
192,2.576105976,3.392920066,+1,1,
193,5.466371217,5.152211952,+1,1,
194,2.136283004,0.314159265,+1,1,
195,3.832743037,2.576105976,+1,1,
196,4.335397862,3.644247478,+1,1,
197,1.884955592,3.204424507,+1,1,
198,2.953097094,5.52920307,+1,1,
199,4.90088454,1.130973355,+1,1,
200,4.71238898,2.827433388,+1,1,
201,1.319468915,1.130973355,+1,1,
202,2.199114858,4.90088454,+1,1,
203,2.513274123,1.068141502,+1,1,
204,0.691150384,1.947787445,+1,1,
205,5.466371217,0,+1,1,
206,2.576105976,4.90088454,+1,1,
207,5.403539364,1.570796327,+1,1,
208,3.644247478,4.523893421,+1,1,
209,1.63362818,5.466371217,+1,1,
210,0.439822972,6.094689748,+1,1,
211,0.314159265,5.466371217,+1,1,
212,3.644247478,5.654866776,+1,1,
213,5.277875658,6.031857895,+1,1,
214,2.199114858,3.26725636,+1,1,
215,5.403539364,0.188495559,+1,1,
216,5.654866776,3.644247478,+1,1,
217,0.942477796,4.398229715,+1,1,
218,2.136283004,1.570796327,+1,1,
219,2.010619298,5.843362336,+1,1,
220,4.963716393,4.398229715,+1,1,
221,3.518583772,3.581415625,+1,1,
222,0.565486678,0.314159265,+1,1,
223,3.769911184,2.387610417,+1,1,
224,0.314159265,6.157521601,+1,1,
225,4.08407045,3.644247478,+1,1,
226,5.466371217,1.005309649,+1,1,
227,2.701769682,3.769911184,+1,1,
228,1.759291886,1.256637061,+1,1,
229,5.592034923,5.089380099,+1,1,
230,3.644247478,2.199114858,+1,1,
231,5.277875658,3.078760801,+1,1,
232,0.502654825,1.570796327,+1,1,
233,5.089380099,3.078760801,+1,1,
234,2.010619298,1.63362818,+1,1,
235,4.586725274,2.701769682,+1,1,
236,6.031857895,5.969026042,+1,-1,
237,5.780530483,0.628318531,+1,1,
238,2.953097094,5.026548246,+1,1,
239,2.890265241,3.392920066,+1,1,
240,3.832743037,5.277875658,+1,1,
241,5.152211952,3.769911184,+1,1,
242,0.879645943,1.319468915,+1,1,
243,0.125663706,2.701769682,+1,-1,
244,5.780530483,5.340707511,+1,1,
245,1.507964474,5.52920307,+1,1,
246,0.565486678,0.376991118,+1,1,
247,2.261946711,3.769911184,+1,1,
248,4.272566009,1.822123739,+1,1,
249,4.021238597,4.90088454,+1,1,
250,2.701769682,5.152211952,+1,1,
251,2.638937829,5.215043805,+1,1,
252,4.272566009,2.638937829,+1,1,
253,3.644247478,2.324778564,+1,1,
254,2.45044227,4.775220833,+1,1,
255,0.314159265,2.890265241,+1,1,
256,5.089380099,4.335397862,+1,1,
257,4.146902303,1.507964474,+1,1,
258,2.010619298,1.005309649,+1,1,
259,4.90088454,1.193805208,+1,1,
260,2.199114858,1.382300768,+1,1,
261,3.769911184,5.026548246,+1,1,
262,4.146902303,0.188495559,+1,1,
263,5.906194189,1.947787445,+1,1,
264,0.565486678,3.078760801,+1,1,
265,2.324778564,3.769911184,+1,1,
266,5.843362336,5.215043805,+1,1,
267,2.324778564,4.586725274,+1,1,
268,2.764601535,0.376991118,+1,1,
269,5.026548246,1.382300768,+1,1,
270,3.518583772,2.45044227,+1,1,
271,4.209734156,3.455751919,+1,1,
272,2.010619298,6.157521601,+1,1,
273,0.691150384,2.010619298,+1,1,
274,0.691150384,0.502654825,+1,1,
275,1.005309649,1.445132621,+1,1,
276,0.691150384,3.204424507,+1,1,
277,2.638937829,4.963716393,+1,1,
278,4.649557127,2.638937829,+1,1,
279,5.403539364,5.906194189,+1,1,
280,4.90088454,4.586725274,+1,1,
281,3.958406744,4.461061568,+1,1,
282,1.382300768,5.215043805,+1,1,
283,3.644247478,2.45044227,+1,1,
284,3.958406744,3.518583772,+1,1,
285,0.565486678,2.701769682,+1,1,
286,2.638937829,3.26725636,+1,1,
287,0.188495559,5.52920307,+1,1,
288,4.461061568,3.832743037,+1,1,
289,0.439822972,1.507964474,+1,1,
290,2.387610417,0,+1,1,
291,2.387610417,4.963716393,+1,1,
292,2.701769682,5.403539364,+1,1,
293,6.031857895,5.152211952,+1,1,
294,3.89557489,4.90088454,+1,1,
295,3.769911184,3.581415625,+1,1,
296,4.71238898,2.953097094,+1,1,
297,0.188495559,2.953097094,+1,1,
298,4.335397862,1.759291886,+1,1,
299,3.707079331,2.701769682,+1,1,
300,0.376991118,2.764601535,+1,1,
301,1.570796327,0.565486678,+1,1,
302,3.581415625,6.220353454,+1,1,
303,5.152211952,4.461061568,+1,1,
304,3.832743037,4.71238898,+1,1,
305,0.81681409,5.403539364,+1,1,
306,4.021238597,0.251327412,+1,1,
307,3.707079331,4.90088454,+1,1,
308,4.775220833,2.827433388,+1,1,
309,4.209734156,5.969026042,+1,1,
310,4.146902303,3.392920066,+1,1,
311,4.523893421,1.947787445,+1,1,
312,2.324778564,3.707079331,+1,1,
313,5.592034923,0.251327412,+1,1,
314,1.382300768,0.81681409,+1,1,
315,2.261946711,0,+1,1,
316,5.089380099,2.764601535,+1,1,
317,3.707079331,4.963716393,+1,1,
318,0.81681409,5.277875658,+1,1,
319,3.581415625,5.52920307,+1,1,
320,4.335397862,5.403539364,+1,1,
321,0.691150384,0.062831853,+1,1,
322,0.942477796,2.576105976,+1,1,
323,4.461061568,2.827433388,+1,1,
324,2.764601535,5.466371217,+1,1,
325,0.251327412,6.220353454,+1,1,
326,5.71769863,1.884955592,+1,1,
327,1.696460033,1.570796327,+1,1,
328,3.581415625,6.094689748,+1,1,
329,1.445132621,5.466371217,+1,1,
330,0.188495559,5.906194189,+1,-1,
331,0.628318531,1.319468915,+1,1,
332,1.570796327,1.63362818,+1,1,
333,5.969026042,5.026548246,+1,1,
334,4.586725274,2.827433388,+1,1,
335,3.644247478,2.199114858,+1,1,
336,1.947787445,6.094689748,+1,1,
337,0.879645943,4.398229715,+1,1,
338,2.827433388,5.780530483,+1,1,
339,5.654866776,2.953097094,+1,1,
340,2.827433388,5.340707511,+1,1,
341,5.340707511,0.879645943,+1,1,
342,5.654866776,5.215043805,+1,1,
343,4.272566009,1.759291886,+1,1,
344,5.152211952,2.764601535,+1,1,
345,3.707079331,4.461061568,+1,1,
346,2.010619298,1.319468915,+1,1,
347,2.387610417,1.193805208,+1,1,
