,Data,,Label,Training Error
0,3.832743037,3.141592654,+1,0.1648
1,4.461061568,4.272566009,+1,
2,4.08407045,3.330088213,+1,
3,5.026548246,5.466371217,+1,
4,5.843362336,3.078760801,+1,
5,4.775220833,0.376991118,+1,
6,4.335397862,3.89557489,+1,
7,1.130973355,0.879645943,+1,
8,4.649557127,4.335397862,+1,
9,4.398229715,0.691150384,+1,
10,5.340707511,1.130973355,+1,
11,5.152211952,5.906194189,+1,
12,4.775220833,2.073451151,+1,
13,3.89557489,1.759291886,+1,
14,5.340707511,6.220353454,+1,
15,4.335397862,3.455751919,+1,
16,2.764601535,2.701769682,+1,
17,4.021238597,3.330088213,+1,
18,5.089380099,5.906194189,+1,
19,0.314159265,4.775220833,+1,
20,5.340707511,4.775220833,-1,
21,1.130973355,5.906194189,-1,
22,1.759291886,1.068141502,-1,
23,2.576105976,4.021238597,-1,
24,0.879645943,4.398229715,-1,
25,0.81681409,4.461061568,-1,
26,5.466371217,4.649557127,-1,
27,5.843362336,6.094689748,-1,
28,5.780530483,1.005309649,-1,
29,1.570796327,4.963716393,-1,
30,5.403539364,4.461061568,-1,
31,3.518583772,2.010619298,-1,
32,1.068141502,1.382300768,-1,
33,0.565486678,2.701769682,-1,
34,5.215043805,4.272566009,-1,
35,1.130973355,5.906194189,-1,
36,0.314159265,0.251327412,-1,
37,3.581415625,1.696460033,-1,
38,4.523893421,1.445132621,-1,
39,4.775220833,1.445132621,-1,
