,Data,,Label,Trainig Error
0,1.570796327,4.523893421,+1,0.0071
1,1.507964474,0.565486678,+1,
2,4.586725274,2.324778564,+1,
3,1.382300768,4.209734156,+1,
4,0,4.146902303,+1,
5,4.963716393,3.832743037,+1,
6,3.015928947,2.387610417,+1,
7,4.838052687,3.769911184,+1,
8,3.015928947,2.324778564,+1,
9,3.141592654,4.398229715,+1,
10,1.507964474,5.026548246,+1,
11,5.969026042,4.209734156,+1,
12,5.969026042,1.822123739,+1,
13,3.204424507,3.707079331,+1,
14,2.387610417,0.376991118,+1,
15,3.015928947,5.277875658,+1,
16,1.570796327,6.220353454,+1,
17,0.753982237,2.890265241,+1,
18,3.26725636,5.277875658,+1,
19,2.953097094,2.010619298,+1,
20,5.52920307,5.843362336,-1,
21,3.707079331,4.963716393,-1,
22,4.08407045,2.638937829,-1,
23,4.649557127,2.701769682,-1,
24,5.71769863,4.90088454,-1,
25,1.947787445,3.707079331,-1,
26,1.822123739,3.392920066,-1,
27,4.146902303,0.062831853,-1,
28,0.188495559,4.775220833,-1,
29,3.26725636,6.157521601,-1,
30,5.277875658,0.062831853,-1,
31,0.502654825,1.382300768,-1,
32,1.884955592,3.015928947,-1,
33,4.272566009,5.906194189,-1,
34,5.026548246,0.062831853,-1,
35,2.513274123,1.005309649,-1,
36,4.146902303,3.141592654,-1,
37,0.753982237,2.010619298,-1,
38,2.576105976,6.157521601,-1,
39,3.581415625,1.63362818,-1,
